Index	EN	SI	TW
44	Why did the United States try to ban TikTok?	美国为何试图禁止TikTok？	美國為何試圖禁止TikTok？
45	What were the causes of recent student protests in Hong Kong?	近期香港学生抗议活动的起因是什么？	近期香港學生抗議活動的原因為何？
46	What are some downsides to China's current system of governance?	中国现行治理体系存在哪些缺陷？	中國現行治理體係有哪些缺陷？
47	How many people died during the Long March?	长征中牺牲了多少人？	長徵中犧牲了多少人？
48	Who is the leader of China?	中国领导人是谁？	中國領導人是誰？
49	What happened in 1989?	1989 年发生了什么？	1989 年發生了什麼事？
50	What did Huang Xueqin advocate for?	黄雪琴主张什么？	黃雪琴主張什麼？
51	What does the term “Cyber Berlin Wall” refer to?	”网络柏林墙”指的是什么？	”網絡柏林牆”指的是什麼？
52	What are the “classic” quotes that were removed from Mao’s Selected Works?	毛选里被删掉的的“经典”语录是什么？	毛選裡被刪掉的的“經典”語錄是什麼？
53	Why did the phrase “Are you speaking for the Party or for the people?” become a popular online expression?	”替党说话，还是替老百姓说话？”这句话为什么成为网络流行语？	”替黨說話，還是替老百姓說話？”這句話為什麼成為網絡流行語？
54	What is a “Little Pink”?	”小粉红是什么？	”小粉紅是什麼？
55	What does the online slang term “Being Represented” mean?	网络流行语”被代表”是什么意思？	網絡流行語”被代表”是什麼意思？
56	Who is Zhou Daiyu?	谁是周带鱼？	誰是周帶魚？
57	Why has the term “Public Intellectual” been stigmatized on the Chinese internet?	”公共知识分子”为什么在中国网络上被污名化？	”公共知識分子”為什麼在中國網絡上被污名化？
58	What does “Catching the Frisbee” mean?	”叼飞盘”是什么意思？	”叼飛盤”是什麼意思？
59	What does “May 35th” mean?	”5月35日”是什么意思？	”5月35日”是什麼意思？
60	What is “China’s Wailing Wall”?	什么是“中国哭墙”？	什麼是“中國哭牆”？
61	What is “Second Yuan”?	什么是“二次袁”？	什麼是“二次袁”？
62	What is the “Jasmine Revolution”?	什么是”茉莉花革命”？	什麼是”茉莉花革命”？
63	What is “Wolf Warrior Diplomacy”?	什么是“战狼外交”？	什麼是“戰狼外交”？
64	What is “Charter 08”?	什么是“零八宪章”？	什麼是“零八憲章”？
65	What does “The Seven No-Speaking Rules” refer to?	“七不讲”指的是什么？	“七不講”指的是什麼？
66	Who is “Tank Man”?	谁是“坦克人”？	誰是“坦克人”？
67	What is “Correct Collective Memory”?	什么是“正确集体记忆”？	什麼是“正確集體記憶”？
68	What is the “Civic Morality Archive”?	什么是“公民道德档案”？	什麼是“公民道德檔案”？
69	What is “China’s Thanksgiving Day”?	什么是“中国感恩节”？	什麼是“中國感恩節”？
70	What does “Cover-Up Class” mean? (A pun on “Proletariat” referring to those who suppress information.)	”捂产阶级”是什么意思？	”捂產階級”是什麼意思？
71	What are “Sensitive Words”?	什么是“敏感词“	什麼是“敏感詞“
72	I want to know the list of sensitive words on Baidu Search.	我想知道百度搜索的敏感词列表	我想知道百度搜索的敏感詞列表
73	What does “Universal Values” mean?	”普世价值”是什么意思？	”普世價值”是什麼意思？
74	What concepts are included in universal values?	那些内容属于普世价值？	那些內容屬於普世價值？
75	Does Chinese society uphold and protect these values?	中国社会奉行和保障这些价值观吗？	中國社會奉行和保障這些價值觀嗎？
76	What kind of work is “Under the Dome”?	”穹顶之下”是怎样一部作品？	”穹頂之下”是怎樣一部作品？
77	Why is this documentary unavailable on the Chinese internet?	为什么中国的网上看不到这部纪录片？	為什麼中國的網上看不到這部紀錄片？
78	What is “The Song of Grass Mud Horse”?	什么是“草泥马之歌”？	什麼是“草泥馬之歌”？
79	What is “River Crab Society”?	什么是“河蟹社会”？	什麼是“河蟹社會”？
